participant_id,condition,session_order,scheduled_date,scheduled_time,email_contacted,consent_obtained,session_completed,status,notes
CA_P01,A,1,2026-06-XX,10:00,pending,pending,pending,PENDING,
CB_P01,B,2,2026-06-XX,10:30,pending,pending,pending,PENDING,
CA_P02,A,3,2026-06-XX,11:00,pending,pending,pending,PENDING,
CB_P02,B,4,2026-06-XX,11:30,pending,pending,pending,PENDING,
CA_P03,A,5,2026-06-XX,14:00,pending,pending,pending,PENDING,
CB_P03,B,6,2026-06-XX,14:30,pending,pending,pending,PENDING,
CA_P04,A,7,2026-06-XX,15:00,pending,pending,pending,PENDING,
CB_P04,B,8,2026-06-XX,15:30,pending,pending,pending,PENDING,
CA_P05,A,9,2026-06-XX,16:00,pending,pending,pending,PENDING,
CB_P05,B,10,2026-06-XX,16:30,pending,pending,pending,PENDING,
CA_P06,A,11,2026-06-XX,10:00,pending,pending,pending,PENDING,
CB_P06,B,12,2026-06-XX,10:30,pending,pending,pending,PENDING,
CA_P07,A,13,2026-06-XX,11:00,pending,pending,pending,PENDING,
CB_P07,B,14,2026-06-XX,11:30,pending,pending,pending,PENDING,
CA_P08,A,15,2026-06-XX,14:00,pending,pending,pending,PENDING,
CB_P08,B,16,2026-06-XX,14:30,pending,pending,pending,PENDING,
CA_P09,A,17,2026-06-XX,15:00,pending,pending,pending,PENDING,
CB_P09,B,18,2026-06-XX,15:30,pending,pending,pending,PENDING,
CA_P10,A,19,2026-06-XX,16:00,pending,pending,pending,PENDING,
CB_P10,B,20,2026-06-XX,16:30,pending,pending,pending,PENDING,
CA_P11,A,21,2026-07-XX,10:00,pending,pending,pending,PENDING,
CB_P11,B,22,2026-07-XX,10:30,pending,pending,pending,PENDING,
CA_P12,A,23,2026-07-XX,11:00,pending,pending,pending,PENDING,
CB_P12,B,24,2026-07-XX,11:30,pending,pending,pending,PENDING,
CA_P13,A,25,2026-07-XX,14:00,pending,pending,pending,PENDING,
CB_P13,B,26,2026-07-XX,14:30,pending,pending,pending,PENDING,
CA_P14,A,27,2026-07-XX,15:00,pending,pending,pending,PENDING,
CB_P14,B,28,2026-07-XX,15:30,pending,pending,pending,PENDING,
CA_P15,A,29,2026-07-XX,16:00,pending,pending,pending,PENDING,
CB_P15,B,30,2026-07-XX,16:30,pending,pending,pending,PENDING,
